"","node_name","quartile","density","diameter","degree_mean","degree","closeness","betweenness","modularity"
"1","decade",1,0,0,0,0,0.05,0,0
"2","single",1,0,0,0,0,0.05,0,0
"3","hundred",1,0,0,0,0,0.05,0,0
"4","teen",1,0,0,0,0,0.05,0,0
"5","thousand",1,0,0,0,0,0.05,0,0
"6","decade",2,0.133333333333333,1,0.8,1,0.0625,0,0.5
"7","single",2,0.133333333333333,1,0.8,2,0.05,0,0.5
"8","hundred",2,0.133333333333333,1,0.8,1,0.0625,0,0.5
"9","teen",2,0.133333333333333,1,0.8,0,0.05,0,0.5
"10","thousand",2,0.133333333333333,1,0.8,0,0.05,0,0.5
"11","decade",3,0.733333333333333,3,4.4,6,0.2,3,0.235537190082645
"12","single",3,0.733333333333333,3,4.4,3,0.125,0,0.235537190082645
"13","hundred",3,0.733333333333333,3,4.4,7,0.2,3,0.235537190082645
"14","teen",3,0.733333333333333,3,4.4,2,0.166666666666667,0,0.235537190082645
"15","thousand",3,0.733333333333333,3,4.4,4,0.125,0,0.235537190082645
"16","decade",4,1,3,6,9,0.2,3,0.313333333333333
"17","single",4,1,3,6,3,0.125,0,0.313333333333333
"18","hundred",4,1,3,6,9,0.2,3,0.313333333333333
"19","teen",4,1,3,6,3,0.166666666666667,0,0.313333333333333
"20","thousand",4,1,3,6,6,0.125,0,0.313333333333333
